1627;1;1;слова с корнем -двор-
1628;1;2;слова с корнем -двор- в значении 'место, на котором находятся дом и надворные постройки'
1629;1;3;слова с корнем -двор- в значении 'место под посадками'
1630;1;4;уса\дьба
1631;1;5;уса\дьба: 'место, на котором находятся дом и надворные постройки'
1632;1;6;уса\дьба: 'место под посадками'
1633;1;7;уса\д
1634;1;8;уса\д: 'место, на котором находятся дом и надворные постройки'
1635;1;9;уса\д: 'место под посадками'
1636;1;10;уса\дебник
1637;1;11;осе\длость
1638;1;12;осе\длость: 'место, на котором находится дом и надворные постройки'
1639;1;13;осе\длость: 'место под посадками'
1640;1;14;обсе\длость
1641;1;15;обсе\длость: 'место, на котором находятся дом и надворные постройки'
1642;1;16;обсе\длость: 'место под посадками'
1643;1;17;осе\дланность
1644;1;18;осе\дланность: 'место, на котором находятся дом и надворные постройки'
1645;1;19;осе\дланность: 'место под посадками'
1646;1;20;обсе\дланность
1647;1;21;обсе\дланность: 'место, на котором находятся дом и надворные постройки'
1648;1;22;обсе\дланность: 'место под посадками'
1649;1;23;сели\тьба
1650;1;24;сели\тьба: 'место, на котором находятся дом и надворные постройки'
1651;1;25;сели\тьба: 'место под посадками'
1652;1;26;сели\ба
1653;1;27;сели\ба: 'место, на котором находятся дом и надворные постройки'
1654;1;28;сели\ба: 'место под посадками'
1655;1;29;сели\бник
1656;1;30;сели\на
1657;1;31;осёлок
1658;1;32;усёлок
1659;1;33;усёлок: 'место, на котором находятся дом и надворные постройки'
1660;1;34;огоро\д
1661;1;35;огоро\д: 'место, на котором находятся дом и надворные постройки'
1662;1;36;огоро\д: 'место под посадками'
1663;1;37;огоро\дец
1664;1;38;огоро\дец: 'место под посадками'
1665;1;39;за\города
1666;1;40;за\города: 'место под посадками'
1667;1;41;печи\на
1668;1;42;печи\на: 'место, на котором находятся дом и надворные постройки'
1669;1;43;печи\на: 'место под посадками'
1670;1;44;печи\ще
1671;1;45;печи\ще: 'место, на котором находятся дом и надворные постройки'
1672;1;46;план
1673;1;47;план:  'место, на котором находятся дом и надворные постройки'
1674;1;48;план: 'место под посадками'
1675;1;49;плант
1676;1;50;плант: 'место, на котором находятся дом и надворные постройки'
1677;1;51;осы\рок
1678;1;52;осы\рок: 'место, на котором находятся дом и надворные постройки'
1679;1;53;осы\рок: 'место под посадками'
1680;1;54;усы\рок
1681;1;55;подсы\рок
1682;1;56;подсы\рок: 'место под посадками'
1683;1;57;сыр, сыро\вой уча\сток
1684;1;58;сыр, сыро\вой уча\сток: 'место, на котором находятся дом и надворные постройки'
1685;1;59;грунт
1686;1;60;гру\нт: 'место, на котором находятся дом и надворные постройки'
1687;1;61;гру\нт: 'место под посадками'
1688;1;62;твори\ло
